server_name,score,tool_count,repo_url,grade_page,badge_md
io.github.lonniev/tollbooth-sample,100,50,https://github.com/lonniev/tollbooth-sample,https://mcpqueen.com/s/io.github.lonniev/tollbooth-sample,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.lonniev/tollbooth-sample.svg)](https://mcpqueen.com/s/io.github.lonniev/tollbooth-sample)
io.github.XogZ3/botoi-mcp,100,49,https://github.com/XogZ3/botoi,https://mcpqueen.com/s/io.github.XogZ3/botoi-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.XogZ3/botoi-mcp.svg)](https://mcpqueen.com/s/io.github.XogZ3/botoi-mcp)
io.github.elevasyncsolutions-jpg/cryptodata-api,100,48,https://github.com/elevasyncsolutions-jpg/cryptodata-api,https://mcpqueen.com/s/io.github.elevasyncsolutions-jpg/cryptodata-api,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.elevasyncsolutions-jpg/cryptodata-api.svg)](https://mcpqueen.com/s/io.github.elevasyncsolutions-jpg/cryptodata-api)
io.github.fxmacrodata/fxmacrodata,100,48,https://github.com/fxmacrodata/fxmacrodata,https://mcpqueen.com/s/io.github.fxmacrodata/fxmacrodata,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.fxmacrodata/fxmacrodata.svg)](https://mcpqueen.com/s/io.github.fxmacrodata/fxmacrodata)
io.github.mcp-dir/mfit-mcp,100,48,https://github.com/mcp-dir/mfit-mcp,https://mcpqueen.com/s/io.github.mcp-dir/mfit-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.mcp-dir/mfit-mcp.svg)](https://mcpqueen.com/s/io.github.mcp-dir/mfit-mcp)
app.noemic/noemic-fabs,100,47,https://github.com/MorganFisher2007/noemic-fabs,https://mcpqueen.com/s/app.noemic/noemic-fabs,[![MCP Queen grade](https://mcpqueen.com/badge/app.noemic/noemic-fabs.svg)](https://mcpqueen.com/s/app.noemic/noemic-fabs)
io.github.ariekogan/ateam-mcp,100,47,https://github.com/ariekogan/ateam-mcp,https://mcpqueen.com/s/io.github.ariekogan/ateam-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.ariekogan/ateam-mcp.svg)](https://mcpqueen.com/s/io.github.ariekogan/ateam-mcp)
io.github.pipeworx-io/httpbin,100,47,https://github.com/pipeworx-io/mcp-httpbin,https://mcpqueen.com/s/io.github.pipeworx-io/httpbin,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.pipeworx-io/httpbin.svg)](https://mcpqueen.com/s/io.github.pipeworx-io/httpbin)
app.noemic/noemic,100,47,https://github.com/MorganFisher2007/Noemic,https://mcpqueen.com/s/app.noemic/noemic,[![MCP Queen grade](https://mcpqueen.com/badge/app.noemic/noemic.svg)](https://mcpqueen.com/s/app.noemic/noemic)
com.stratalize/finance,100,46,https://github.com/Stratalize/Stratalize,https://mcpqueen.com/s/com.stratalize/finance,[![MCP Queen grade](https://mcpqueen.com/badge/com.stratalize/finance.svg)](https://mcpqueen.com/s/com.stratalize/finance)
